Princeton, 40.3487, -74.6593
Harvard, 42.3744, -71.1169
Yale, 41.3111, -72.9267
Columbia, 40.8075, -73.9619
Stanford, 37.4300, -122.1700
Chicago, 41.7897, -87.5997
MIT, 42.3598, -71.0921
Duke, 36.0011, -78.9389
Penn, 39.9500, -75.1900
Caltech, 34.1386, -118.1255
Dartmouth, 43.7033, -72.2883
Johns Hopkins, 39.3289, -76.6203
Northwestern, 42.05598, -87.6752
WUSTL, 38.6480, -90.3050
Cornell, 42.4800, -76.4511
Brown, 41.8262, -71.4032
Notre Dame, 41.7030, -86.2390
Vanderbilt, 36.1486, -86.8050
Rice, 29.7169, -95.4028
UC Berkeley, 37.8700, -122.2590